group,kind,level,method,cls,mean_case_dice,cases,case_values
training,missing,0.1,raster8,disconnected_2d,0.9135604562583215,4,"{'Case_13': 0.9473666359994529, 'Case_14': 0.9315589463493578, 'Case_16': 0.9413020940042399, 'Case1LES': 0.8340141486802355}"
training,missing,0.1,raster8_filled,attached_2d,0.9811220724458168,4,"{'Case_13': 0.9980965809876974, 'Case_14': 0.9969193427344977, 'Case_16': 0.9961737960911452, 'Case1LES': 0.933298569969927}"
training,missing,0.1,raster8_filled,disconnected_2d,0.9471879548319567,4,"{'Case_13': 0.9858262995249296, 'Case_14': 0.9758269173968008, 'Case_16': 0.949142265601893, 'Case1LES': 0.8779563368042035}"
training,missing,0.3,neural,attached_2d,0.9353143864543559,4,"{'Case_13': 0.9650065155544908, 'Case_14': 0.9283647580554165, 'Case_16': 0.9456932565473037, 'Case1LES': 0.9021930156602126}"
training,missing,0.3,neural,disconnected_2d,0.7214217048932838,4,"{'Case_13': 0.8319110740785475, 'Case_14': 0.37158650327540294, 'Case_16': 0.8138694075559804, 'Case1LES': 0.8683198346632045}"
training,missing,0.3,neural_filled,attached_2d,0.9671591469418197,4,"{'Case_13': 0.9873405971618562, 'Case_14': 0.9768886306152944, 'Case_16': 0.972927299549299, 'Case1LES': 0.9314800604408294}"
training,missing,0.3,neural_filled,disconnected_2d,0.9171317866834622,4,"{'Case_13': 0.968225097269651, 'Case_14': 0.9354198808152935, 'Case_16': 0.8785291221213117, 'Case1LES': 0.8863530465275925}"
training,missing,0.3,raster4,attached_2d,0.7785133585151658,4,"{'Case_13': 0.8063126801869337, 'Case_14': 0.8092285933720872, 'Case_16': 0.808730027205574, 'Case1LES': 0.6897821332960685}"
training,missing,0.3,raster4,disconnected_2d,0.4342670579903398,4,"{'Case_13': 0.3683244176046537, 'Case_14': 0.22538212624370815, 'Case_16': 0.442568379978675, 'Case1LES': 0.7007933081343225}"
training,missing,0.3,raster4_filled,attached_2d,0.9722878314078368,4,"{'Case_13': 0.9933182799327431, 'Case_14': 0.9893887986747, 'Case_16': 0.9872241495922957, 'Case1LES': 0.9192200974316083}"
training,missing,0.3,raster4_filled,disconnected_2d,0.9005683631739632,4,"{'Case_13': 0.9677461004622906, 'Case_14': 0.9269706276084732, 'Case_16': 0.850315170601997, 'Case1LES': 0.857241554023092}"
training,missing,0.3,raster8,attached_2d,0.8106113664253877,4,"{'Case_13': 0.8222339678850745, 'Case_14': 0.8225461047237737, 'Case_16': 0.8243772659452517, 'Case1LES': 0.7732881271474508}"
training,missing,0.3,raster8,disconnected_2d,0.7812484346787036,4,"{'Case_13': 0.82549906829143, 'Case_14': 0.7431627521999428, 'Case_16': 0.8136925084903698, 'Case1LES': 0.742639409733072}"
training,missing,0.3,raster8_filled,attached_2d,0.9681499887533191,4,"{'Case_13': 0.9933287065739599, 'Case_14': 0.9893891598450923, 'Case_16': 0.9871520697449653, 'Case1LES': 0.902730018849259}"
training,missing,0.3,raster8_filled,disconnected_2d,0.8921614645163676,4,"{'Case_13': 0.9687112382222597, 'Case_14': 0.9343807565437178, 'Case_16': 0.85006311889056, 'Case1LES': 0.8154907444089327}"
training,noise,0.02,neural,attached_2d,0.9694142585951343,4,"{'Case_13': 0.9896798752902499, 'Case_14': 0.9783904477213211, 'Case_16': 0.9765122987241344, 'Case1LES': 0.9330744126448319}"
training,noise,0.02,neural,disconnected_2d,0.9244302294487504,4,"{'Case_13': 0.9728069899037641, 'Case_14': 0.9498812648418946, 'Case_16': 0.8880836776440898, 'Case1LES': 0.8869489854052532}"
training,noise,0.02,raster4,attached_2d,0.9837452728182974,4,"{'Case_13': 0.9949438423840168, 'Case_14': 0.988550690918001, 'Case_16': 0.9882296275618287, 'Case1LES': 0.9632569304093427}"
training,noise,0.02,raster4,disconnected_2d,0.7286488797034221,4,"{'Case_13': 0.9521024842235813, 'Case_14': 0.41456892666332196, 'Case_16': 0.6059384104153115, 'Case1LES': 0.9419856975114733}"
training,noise,0.02,raster4_smooth,attached_2d,0.9738050086818404,4,"{'Case_13': 0.9923743052777674, 'Case_14': 0.9797299710315096, 'Case_16': 0.9804426714030083, 'Case1LES': 0.9426730870150762}"
training,noise,0.02,raster4_smooth,disconnected_2d,0.8795220814630783,4,"{'Case_13': 0.980025436559731, 'Case_14': 0.885894768291772, 'Case_16': 0.7357585283666176, 'Case1LES': 0.9164095926341927}"
training,noise,0.02,raster8,attached_2d,0.970621492663197,4,"{'Case_13': 0.994856683801666, 'Case_14': 0.9859040306601474, 'Case_16': 0.9867454084261035, 'Case1LES': 0.9149798477648711}"
training,noise,0.02,raster8,disconnected_2d,0.762334561922562,4,"{'Case_13': 0.9717589224148401, 'Case_14': 0.5886038109853571, 'Case_16': 0.6483071535262219, 'Case1LES': 0.8406683607638291}"
training,noise,0.02,raster8_smooth,attached_2d,0.9595023815677384,4,"{'Case_13': 0.9923743052777674, 'Case_14': 0.9796230159586186, 'Case_16': 0.9804426714030083, 'Case1LES': 0.8855695336315591}"
training,noise,0.02,raster8_smooth,disconnected_2d,0.8540008845716163,4,"{'Case_13': 0.980025436559731, 'Case_14': 0.9077034991305449, 'Case_16': 0.7357585283666176, 'Case1LES': 0.7925160742295713}"
training,noise,0.05,neural,attached_2d,0.9684099905434795,4,"{'Case_13': 0.9892850340461926, 'Case_14': 0.976891279543458, 'Case_16': 0.9751442736373822, 'Case1LES': 0.9323193749468853}"
training,noise,0.05,neural,disconnected_2d,0.9155059381921012,4,"{'Case_13': 0.9671130640998814, 'Case_14': 0.9283907007018041, 'Case_16': 0.8804986824386188, 'Case1LES': 0.8860213055281007}"
training,noise,0.05,raster4,attached_2d,0.9701122332961664,4,"{'Case_13': 0.9886553589646105, 'Case_14': 0.976113150112876, 'Case_16': 0.9741457083434009, 'Case1LES': 0.9415347157637778}"
training,noise,0.05,raster4,disconnected_2d,0.5372675507698673,4,"{'Case_13': 0.7745857132347985, 'Case_14': 0.15861278190993808, 'Case_16': 0.3109641007137857, 'Case1LES': 0.9049076072209471}"
training,noise,0.05,raster4_smooth,attached_2d,0.9639748087292035,4,"{'Case_13': 0.9902173113248641, 'Case_14': 0.9735369955453924, 'Case_16': 0.9744529362695937, 'Case1LES': 0.9176919917769637}"
training,noise,0.05,raster4_smooth,disconnected_2d,0.7656774395335487,4,"{'Case_13': 0.9627107676849208, 'Case_14': 0.619369871636711, 'Case_16': 0.6103383880720467, 'Case1LES': 0.8702907307405164}"
training,noise,0.05,raster8,attached_2d,0.9586351325732909,4,"{'Case_13': 0.9881303974344755, 'Case_14': 0.9684305857574803, 'Case_16': 0.9683317518265612, 'Case1LES': 0.9096477952746468}"
training,noise,0.05,raster8,disconnected_2d,0.5676637779294702,4,"{'Case_13': 0.8308261678983119, 'Case_14': 0.24753975138273931, 'Case_16': 0.36250280052685085, 'Case1LES': 0.8297863919099789}"
training,noise,0.05,raster8_smooth,attached_2d,0.9517532842912858,4,"{'Case_13': 0.9901968389975572, 'Case_14': 0.9733141798017569, 'Case_16': 0.9742545604562832, 'Case1LES': 0.8692475579095458}"
training,noise,0.05,raster8_smooth,disconnected_2d,0.7429829462357223,4,"{'Case_13': 0.9646832169390848, 'Case_14': 0.6420295642752109, 'Case_16': 0.6156868758957058, 'Case1LES': 0.7495321278328877}"
training,noise,0.1,neural,attached_2d,0.9645855929608107,4,"{'Case_13': 0.986933791551297, 'Case_14': 0.9717361589212755, 'Case_16': 0.9697375555584412, 'Case1LES': 0.9299348658122287}"
training,noise,0.1,neural,disconnected_2d,0.8899918137875987,4,"{'Case_13': 0.9530288975737617, 'Case_14': 0.8692369771526088, 'Case_16': 0.8550268949508494, 'Case1LES': 0.8826744854731747}"
training,noise,0.1,raster4,attached_2d,0.9512638002822313,4,"{'Case_13': 0.9784300481215021, 'Case_14': 0.956669685855693, 'Case_16': 0.9549599843040252, 'Case1LES': 0.9149954828477052}"
training,noise,0.1,raster4,disconnected_2d,0.18172968084617117,4,"{'Case_13': 0.01994488835143297, 'Case_14': 0.007437682833964413, 'Case_16': 0.02232891604788573, 'Case1LES': 0.6772072361514015}"
training,noise,0.1,raster4_smooth,attached_2d,0.9496718414484511,4,"{'Case_13': 0.985200323129622, 'Case_14': 0.9627616127631272, 'Case_16': 0.9617839118066008, 'Case1LES': 0.8889415180944539}"
training,noise,0.1,raster4_smooth,disconnected_2d,0.6048994197116249,4,"{'Case_13': 0.894893672268631, 'Case_14': 0.29743508380229994, 'Case_16': 0.4169015027014064, 'Case1LES': 0.8103674200741618}"
training,noise,0.1,raster8,attached_2d,0.9350601070629392,4,"{'Case_13': 0.9757175436412787, 'Case_14': 0.939544156364903, 'Case_16': 0.9392932419869392, 'Case1LES': 0.885685486258636}"
